2023-11-22 17:58:53.239288
dependency,source,is_git_supported
inflect,https://github.com/jaraco/inflect,True
argcomplete,https://github.com/kislyuk/argcomplete,True
google-auth-oauthlib,https://github.com/GoogleCloudPlatform/google-auth-library-python-oauthlib,True
pytest,https://github.com/pytest-dev/pytest,True
pytest-django,https://github.com/pytest-dev/pytest-django,True
hypothesis-pytest,https://github.com/DRMacIver/hypothesis,True
coreapi,https://github.com/core-api/python-client,True
pockets,No Github Link,False
contourpy,https://github.com/contourpy/contourpy,True
django-modelcluster,https://github.com/wagtail/django-modelcluster,True
jasmine-core,No Github Link,False
bowler,https://github.com/facebookincubator/bowler,True
picobox,https://github.com/ikalnytskyi/picobox,True
python-monkey-business,https://github.com/theatlantic/python-monkey-business,True
maxminddb,https://github.com/maxmind/MaxMind-DB-Reader-python,True
blinker,https://github.com/pallets-eco/blinker,True
fastavro,https://github.com/fastavro/fastavro,True
djangorestframework-datatables,https://github.com/izimobil/django-rest-framework-datatables,True
Sphinx,https://github.com/sphinx-doc/sphinx,True
srt,https://github.com/cdown/srt,True
proto-plus,https://github.com/googleapis/proto-plus-python.git,True
fissix,https://github.com/jreese/fissix,True
sympy,https://github.com/sympy/sympy,True
openapi-schema-validator,https://github.com/python-openapi/openapi-schema-validator,True
django-mysql,https://github.com/adamchainz/django-mysql,True
moto,https://github.com/getmoto/moto,True
sphinxcontrib-contentui,https://github.com/ulrobix/sphinxcontrib-contentui,True
pytest-mock,https://github.com/pytest-dev/pytest-mock,True
jsonfield2,https://github.com/rpkilby/jsonfield2,True
rules,http://github.com/dfunckt/django-rules,True
sphinx-book-theme,https://github.com/executablebooks/sphinx-book-theme,True
anyio,https://github.com/agronholm/anyio,True
sphinx-mdinclude,https://github.com/omnilib/sphinx-mdinclude,True
django-threadlocals,https://github.com/nebstrebor/django-threadlocals,True
snowflake-connector-python,https://github.com/snowflakedb/snowflake-connector-python,True
django-oscar,https://github.com/django-oscar/django-oscar,True
factory-boy,https://github.com/FactoryBoy/factory_boy,True
zipp,https://github.com/jaraco/zipp,True
toml,https://github.com/uiri/toml,True
social-auth-core,https://github.com/python-social-auth/social-core,True
docopt,No Github Link,False
tutor,https://github.com/overhangio/tutor,True
grimp,https://github.com/seddonym/grimp,True
ujson,https://github.com/ultrajson/ultrajson,True
django-nested-admin,https://github.com/theatlantic/django-nested-admin,True
rsa,https://github.com/sybrenstuvel/python-rsa,True
alabaster,https://github.com/bitprophet/alabaster,True
rpds-py,https://github.com/sponsors/Julian,True
wcmatch,https://github.com/facelessuser/wcmatch,True
django-object-actions,https://github.com/crccheck/django-object-actions,True
future,No Github Link,False
python-memcached,https://github.com/linsomniac/python-memcached,True
tomli,https://github.com/hukkin/tomli,True
code-annotations,https://github.com/openedx/code-annotations,True
msgpack,https://github.com/msgpack/msgpack-python,True
markdown,https://github.com/Python-Markdown/markdown,True
openpyxl,https://foss.heptapod.net/openpyxl/openpyxl,False
codecov,https://github.com/codecov/codecov-python,True
openedx-learning,https://github.com/openedx/openedx-learning,True
more-itertools,https://github.com/more-itertools/more-itertools,True
django-haystack,https://github.com/django-haystack/django-haystack,True
clickhouse-connect,https://github.com/ClickHouse/clickhouse-connect,True
analytics-python,https://github.com/segmentio/analytics-python,True
kubernetes,https://github.com/kubernetes-client/python,True
python-lsp-jsonrpc,https://github.com/python-lsp/python-lsp-jsonrpc,True
wcwidth,https://github.com/jquast/wcwidth,True
cheroot,https://github.com/cherrypy/cheroot,True
python3-openid,http://github.com/necaris/python3-openid,True
django-permissionedforms,https://github.com/wagtail/django-permissionedforms,True
decorator,https://github.com/micheles/decorator,True
interchange,https://github.com/py2neo-org/interchange,True
pylint-celery,https://github.com/landscapeio/pylint-celery,True
pprintpp,https://github.com/wolever/pprintpp,True
edx-sphinx-theme,https://github.com/openedx/edx-sphinx-theme,True
rfc3339-validator,https://github.com/naimetti/rfc3339-validator,True
jaraco-text,https://github.com/jaraco/jaraco.text,True
requests,https://github.com/psf/requests,True
